parkingLotSeq,PArkingLotName,parkingLotNewAddr,parkingLotOldAddr,IsChecked,modifyDate,regDate
221989,정릉시장 ,,서울특별시 성북구 정릉동 405-4,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221992,장위전통시장 제2,서울특별시 성북구 장위로40길 62,,0,2020-03-25 09:51:19,2020-03-25 09:51:19
222002,한글비,,서울 노원구 하계동 256-1,0,2020-04-16 16:42:36,2020-03-25 09:51:19
222003,상계역 서측 주택가,,서울특별시 노원구 상계동 169-409,0,2020-03-25 09:51:19,2020-03-25 09:51:19
222015,"수락산디자인
서울거리",,서울특별시 노원구 상계1동 1120-1,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222021,유경백화점뒤,,서울특별시 노원구 중계본동 364-16,0,2020-04-06 12:19:29,2020-03-25 09:51:20
222043,중림종합복지센터,서울특별시 중구 서소문로6길 16,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222039,충현어린이공원,서울특별시 중구 동호로11차길 1,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222070,구의2동 주택가,,서울특별시 광진구 구의동 30-9,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222080,한남유수지,서울특별시 용산구 독서당로 18,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222075,자양유수지,,서울 광진구 자양동 594,0,2020-03-25 11:50:02,2020-03-25 09:51:20
222089,효창공원 2,서울특별시 용산구 효창동 255-1 ,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222090,삼각지역,서울특별시 용산구 한강로1가 138 ,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222093,한강로2가동,서울특별시 용산구 한강로2가 412 ,,0,2020-03-25 09:51:20,2020-03-25 09:51:20
222103,면목시장,,서울 중랑구 면목동 669,0,2020-03-25 12:02:30,2020-03-25 09:51:20
222105,망우본동,,서울 중랑구 망우동 463-8,0,2020-03-25 11:14:54,2020-03-25 09:51:20
222122,중화2동4,,서울 중랑구 중화동 73-10,0,2020-03-25 11:22:06,2020-03-25 09:51:20
222118,중화2동1,"",서울 중랑구 중화동 73-5,0,2020-03-25 11:31:27,2020-03-25 09:51:20
222119,중화2동2,"",서울 중랑구 중화동 73-4,0,2020-03-25 11:31:10,2020-03-25 09:51:20
